TFNAME,TLNAME,TADDRESS,TPHONENUMBER,ISHEAD,EMAIL,FACULTY_ID
Grant,Robinson,3754 Dictum Street,1-861-445-6562,0,grant.robinson@skylineacademy.com,1
Bree,Potter,Ap #926-2922 Sit Av.,(937) 433-6328,0,bree.potter@skylineacademy.com,2
Adria,Boyle,167-5657 Justo Street,1-851-553-2807,0,adria.boyle@skylineacademy.com,3
Savannah,Moran,Ap #999-4545 Sollicitudin St.,1-824-312-4148,0,savannah.moran@skylineacademy.com,4
Madaline,Herman,Ap #564-4463 Erat Rd.,(137) 883-9853,0,madaline.herman@skylineacademy.com,5
Alfonso,Rutledge,899-7495 Ultrices. Ave,1-630-973-9471,0,alfonso.rutledge@skylineacademy.com,1
Kirsten,Potts,432-3102 Eu Road,(277) 213-5358,0,kirsten.potts@skylineacademy.com,2
Carolyn,Parsons,450-9039 Penatibus Avenue,1-284-195-2471,0,carolyn.parsons@skylineacademy.com,3
Gage,Tyler,"P.O. Box 462, 6568 Curae Av.",(636) 356-5877,0,gage.tyler@skylineacademy.com,4
Florence,Chang,893-7273 Vel Street,1-185-481-1454,0,florence.chang@skylineacademy.com,5
Lareina,Conner,Ap #908-9437 Et Rd.,1-301-841-9741,0,lareina.conner@skylineacademy.com,1
Aphrodite,Burns,"P.O. Box 184, 3124 Magna St.",1-547-360-7424,0,aphrodite.burns@skylineacademy.com,2
Kevyn,Burnett,556-449 Enim Rd.,(655) 527-5283,0,kevyn.burnett@skylineacademy.com,3
Trevor,Knox,"P.O. Box 935, 5661 Aliquet, Ave",(983) 346-1135,0,trevor.knox@skylineacademy.com,4
Plato,Pate,"P.O. Box 467, 9342 Lorem. Avenue",1-578-576-6945,0,plato.pate@skylineacademy.com,5
Linus,Harrell,Ap #163-5746 Nulla Street,1-262-746-7948,0,linus.harrell@skylineacademy.com,1
Kristen,Marshall,884-6939 Sed Rd.,1-734-779-1655,0,kristen.marshall@skylineacademy.com,2
Gabriel,Woodward,Ap #824-3006 Ut St.,(583) 598-5561,0,gabriel.woodward@skylineacademy.com,3
Hiram,Tyler,986-586 Mauris Avenue,1-751-572-8010,0,hiram.tyler@skylineacademy.com,4
Althea,Hensley,Ap #335-6070 Ut Road,(847) 262-6634,0,althea.hensley@skylineacademy.com,5
Price,Carpenter,Ap #360-4626 Natoque St.,(930) 672-8457,0,price.carpenter@skylineacademy.com,1
Dalton,Mckenzie,Ap #577-2553 In Av.,(638) 859-7816,0,dalton.mckenzie@skylineacademy.com,2
Cedric,Hogan,"P.O. Box 904, 9952 Nunc Road",1-412-843-7474,0,cedric.hogan@skylineacademy.com,3
Benjamin,Carey,723-1350 Donec Rd.,1-549-417-2857,0,benjamin.carey@skylineacademy.com,4
Quail,Gill,903-2411 Pellentesque Rd.,(773) 735-6883,0,quail.gill@skylineacademy.com,5
Dexter,Fernandez,"P.O. Box 112, 500 Lectus Ave",1-920-907-8541,0,dexter.fernandez@skylineacademy.com,1
Kiara,Farley,"P.O. Box 948, 3007 Nisi St.",(379) 895-3183,0,kiara.farley@skylineacademy.com,2
Zeus,Arnold,"P.O. Box 339, 839 Eu Av.",1-207-556-8121,0,zeus.arnold@skylineacademy.com,3
Kenneth,Mullins,Ap #281-7390 Molestie Avenue,(928) 433-4822,0,kenneth.mullins@skylineacademy.com,4
Brady,Villarreal,Ap #659-8451 Sapien St.,1-326-315-2738,0,brady.villarreal@skylineacademy.com,5
Deanna,Jarvis,Ap #758-4662 Magna. Rd.,(261) 430-1982,0,deanna.jarvis@skylineacademy.com,1
Daniel,O'Neill,3296 Bibendum. St.,1-872-864-1056,0,daniel.oneill@skylineacademy.com,2
Tamara,Le,"Ap #706-7057 Aliquet, Rd.",1-385-583-4834,0,tamara.le@skylineacademy.com,3
Cedric,Estes,Ap #167-4868 Ut Av.,1-577-646-5623,0,cedric.estes@skylineacademy.com,4
Azalia,Galloway,Ap #752-4705 Magna Street,1-595-471-3073,0,azalia.galloway@skylineacademy.com,5
Nicholas,Howe,Ap #942-1951 Elit. Road,1-444-784-7434,0,nicholas.howe@skylineacademy.com,1
Jescie,Savage,"P.O. Box 376, 9513 Et St.",(585) 369-7335,0,jescie.savage@skylineacademy.com,2
Talon,Emerson,513 Iaculis Rd.,1-843-811-4866,0,talon.emerson@skylineacademy.com,3
Simon,Emerson,8739 Magnis Rd.,(441) 283-3988,0,simon.emerson@skylineacademy.com,4
Brandon,Evans,Ap #312-3856 Eget St.,(371) 525-7077,0,brandon.evans@skylineacademy.com,5
Kelsie,Flowers,8016 Quam St.,(481) 892-2656,0,kelsie.flowers@skylineacademy.com,1
Kai,Marshall,Ap #777-5223 Aenean Rd.,1-384-499-5655,0,kai.marshall@skylineacademy.com,2
India,Riggs,671 Libero. Av.,(177) 214-9962,0,india.riggs@skylineacademy.com,3
Acton,Bridges,595-8527 Ligula. Rd.,(475) 490-4348,0,acton.bridges@skylineacademy.com,4
Mufutau,Whitaker,Ap #102-8470 Euismod St.,(572) 738-7877,0,mufutau.whitaker@skylineacademy.com,5
Phillip,Collins,"P.O. Box 328, 2735 Volutpat St.",1-859-273-5376,0,phillip.collins@skylineacademy.com,1
Michael,Barker,702-9435 Euismod St.,(141) 619-4255,0,michael.barker@skylineacademy.com,2
Shafira,Pennington,830-9391 Consectetuer Ave,1-514-450-2667,0,shafira.pennington@skylineacademy.com,3
Gavin,Bauer,Ap #985-8713 Donec St.,(287) 278-8894,0,gavin.bauer@skylineacademy.com,4
Vaughan,Phelps,Ap #390-6615 Nullam Rd.,(137) 675-2780,0,vaughan.phelps@skylineacademy.com,5
Raja,Decker,1920 Ridiculus Av.,(636) 974-6438,0,raja.decker@skylineacademy.com,1
Rafael,Boyer,7993 Eu Road,1-388-972-5941,0,rafael.boyer@skylineacademy.com,2
Chaim,Burgess,"P.O. Box 417, 174 Sed, St.",1-282-467-4865,0,chaim.burgess@skylineacademy.com,3
Shad,Cobb,"Ap #812-3166 Vitae, Rd.",1-119-384-6116,0,shad.cobb@skylineacademy.com,4
Yvonne,Hickman,Ap #110-1956 Nunc Street,(533) 867-6664,0,yvonne.hickman@skylineacademy.com,5
Wynter,Copeland,"534-8244 Eget, Av.",1-344-891-0325,0,wynter.copeland@skylineacademy.com,1
Hiram,Bates,3301 Metus Avenue,(810) 498-7316,0,hiram.bates@skylineacademy.com,2
Ingrid,Palmer,"684-5427 A, Road",(744) 521-5742,0,ingrid.palmer@skylineacademy.com,3
Noble,Mccarty,428-1130 Dolor Road,(777) 446-5552,0,noble.mccarty@skylineacademy.com,4
Noelle,Woodward,Ap #677-1699 A Road,1-197-332-6914,0,noelle.woodward@skylineacademy.com,5
Nigel,Watkins,"P.O. Box 680, 2524 Porttitor Avenue",1-529-615-4466,0,nigel.watkins@skylineacademy.com,1
Thomas,Hoover,"4668 Vulputate, Rd.",(128) 484-1275,0,thomas.hoover@skylineacademy.com,2
Deanna,Buchanan,9635 Non St.,(255) 777-2222,0,deanna.buchanan@skylineacademy.com,3
Gemma,Gallagher,Ap #827-6430 Vehicula Avenue,(642) 202-2502,0,gemma.gallagher@skylineacademy.com,4
Fleur,Campbell,2240 Augue St.,(597) 229-2840,0,fleur.campbell@skylineacademy.com,5
Mara,Spears,683-8107 Elementum Avenue,(644) 471-7940,0,mara.spears@skylineacademy.com,1
Zeus,Moody,"P.O. Box 797, 9577 Eget St.",(784) 420-6727,0,zeus.moody@skylineacademy.com,2
Jemima,Kline,946-5950 Cursus Av.,(217) 421-9782,0,jemima.kline@skylineacademy.com,3
Jolene,Dixon,9846 Enim. Street,(787) 393-6512,0,jolene.dixon@skylineacademy.com,4
Carlos,Parsons,Ap #802-6110 Odio. St.,1-683-318-1385,0,carlos.parsons@skylineacademy.com,5
Fritz,Lindsey,4018 Lorem Av.,1-202-881-5827,0,fritz.lindsey@skylineacademy.com,1
Mara,Bruce,"7394 Lobortis, Ave",(264) 749-5042,0,mara.bruce@skylineacademy.com,2
Otto,Fuentes,Ap #981-4227 Per Av.,1-770-748-7256,0,otto.fuentes@skylineacademy.com,3
Demetria,Horn,190-1733 In St.,(862) 123-7057,0,demetria.horn@skylineacademy.com,4
Rashad,Bolton,"P.O. Box 271, 8092 Quam Road",1-954-523-0163,0,rashad.bolton@skylineacademy.com,5
Kenyon,Richards,"P.O. Box 253, 5505 Montes, Ave",1-353-231-1554,0,kenyon.richards@skylineacademy.com,1
Nerea,Cortez,105-7244 Sagittis Ave,1-963-617-8657,0,nerea.cortez@skylineacademy.com,2
Christian,Tanner,Ap #412-5907 Diam. Road,1-474-852-2817,0,christian.tanner@skylineacademy.com,3
Felix,Buchanan,953-6161 Duis Rd.,(674) 354-6204,0,felix.buchanan@skylineacademy.com,4
Yvonne,Goff,"P.O. Box 274, 8707 Erat Ave",(376) 770-3876,0,yvonne.goff@skylineacademy.com,5
Elton,Gentry,"Ap #472-9715 Et, Ave",(681) 288-7582,0,elton.gentry@skylineacademy.com,1
Armand,Sutton,2746 Nunc Road,1-974-626-3429,0,armand.sutton@skylineacademy.com,2
Breanna,Rice,4004 Dolor Road,(552) 271-2784,0,breanna.rice@skylineacademy.com,3
Emily,Blake,124-4112 Cras Rd.,1-353-923-5831,0,emily.blake@skylineacademy.com,4
Joel,Chaney,776-5346 Vulputate Av.,1-786-914-4697,0,joel.chaney@skylineacademy.com,5
Lucius,Walker,626-4627 Metus Road,(745) 675-6795,0,lucius.walker@skylineacademy.com,1
Perry,Leblanc,201-5786 Ac Road,1-366-253-1626,0,perry.leblanc@skylineacademy.com,2
Belle,Larson,"P.O. Box 178, 5616 Sit Street",(204) 577-5256,0,belle.larson@skylineacademy.com,3
Cheyenne,Doyle,"Ap #298-7562 A, Ave",1-562-720-4066,0,cheyenne.doyle@skylineacademy.com,4
Randall,Poole,"298-8266 Est, Street",1-733-361-7936,0,randall.poole@skylineacademy.com,5
Dexter,Finley,746-7975 Eu St.,(316) 764-9421,0,dexter.finley@skylineacademy.com,1
Cora,Marks,964-9371 Integer Street,1-448-769-5765,0,cora.marks@skylineacademy.com,2
Brittany,Miranda,9384 Nullam Road,(651) 254-2342,0,brittany.miranda@skylineacademy.com,3
Diana,Reynolds,"P.O. Box 842, 7155 Lorem St.",(688) 930-7337,0,diana.reynolds@skylineacademy.com,4
Darrel,Howe,285-9375 Leo Street,1-215-683-3076,0,darrel.howe@skylineacademy.com,5
Quentin,Rose,Ap #199-5046 Lectus Avenue,(511) 635-8450,0,quentin.rose@skylineacademy.com,1
Jane,Bentley,7939 Nunc St.,(936) 312-7758,0,jane.bentley@skylineacademy.com,2
Malachi,Sweeney,362-2767 Mattis Rd.,1-676-747-7534,0,malachi.sweeney@skylineacademy.com,3
Emi,Alvarez,"P.O. Box 824, 3809 Faucibus St.",(311) 994-8787,0,emi.alvarez@skylineacademy.com,4
Leandra,Reyes,Ap #439-390 Ipsum Av.,(243) 274-7863,0,leandra.reyes@skylineacademy.com,5
Hiram,Snow,Ap #308-7617 Tempor Street,1-304-614-5344,0,hiram.snow@skylineacademy.com,1
Alfonso,Mueller,170-1318 Consequat Street,1-157-690-0678,0,alfonso.mueller@skylineacademy.com,2
Kimberley,Glover,701-8709 Mauris Street,1-472-225-7711,0,kimberley.glover@skylineacademy.com,3
Moana,Horn,584-9547 Cubilia St.,1-907-282-8585,0,moana.horn@skylineacademy.com,4
Germaine,Maxwell,"Ap #990-4149 Montes, Rd.",(972) 396-7588,0,germaine.maxwell@skylineacademy.com,5
Giacomo,Campos,Ap #238-5053 Vehicula Rd.,1-221-161-7818,0,giacomo.campos@skylineacademy.com,1
Cally,Collins,801-4226 Metus Road,1-234-426-8894,0,cally.collins@skylineacademy.com,2
Portia,Willis,"Ap #460-2708 Orci, Street",1-448-988-7236,0,portia.willis@skylineacademy.com,3
Madeline,Holt,Ap #977-7087 Ac St.,1-370-252-5172,0,madeline.holt@skylineacademy.com,4
Daniel,Mills,"P.O. Box 788, 8422 In St.",(748) 724-3584,0,daniel.mills@skylineacademy.com,5
